data;cidade;precipitacao
2010-07-31;JUIZ DE FORA;19,6
2010-08-31;JUIZ DE FORA;,4
2010-09-30;JUIZ DE FORA;37,5
2010-10-31;JUIZ DE FORA;114,2
2010-11-30;JUIZ DE FORA;275,1
2010-12-31;JUIZ DE FORA;472,7
2011-01-31;JUIZ DE FORA;316,1
2011-02-28;JUIZ DE FORA;52,6
2011-03-31;JUIZ DE FORA;327,2
2011-04-30;JUIZ DE FORA;151,5
2011-05-31;JUIZ DE FORA;13,5
2011-06-30;JUIZ DE FORA;16,6
2011-07-31;JUIZ DE FORA;3,2
2011-08-31;JUIZ DE FORA;9,2
2011-09-30;JUIZ DE FORA;2,7
2011-10-31;JUIZ DE FORA;122,6
2011-11-30;JUIZ DE FORA;316,7
2011-12-31;JUIZ DE FORA;345,4
2012-01-31;JUIZ DE FORA;397,3
2012-02-29;JUIZ DE FORA;108
2012-03-31;JUIZ DE FORA;92,6
2012-04-30;JUIZ DE FORA;71
2012-05-31;JUIZ DE FORA;107,5
2012-06-30;JUIZ DE FORA;53,8
2012-07-31;JUIZ DE FORA;4,2
2012-08-31;JUIZ DE FORA;5
2012-09-30;JUIZ DE FORA;72,9
2012-10-31;JUIZ DE FORA;49,4
2012-11-30;JUIZ DE FORA;273,6
2012-12-31;JUIZ DE FORA;209,2
2007-01-31;BOM JESUS DA LAPA;29,6
2007-02-28;BOM JESUS DA LAPA;243,5
2007-03-31;BOM JESUS DA LAPA;17,3
2007-04-30;BOM JESUS DA LAPA;14,3
2007-05-31;BOM JESUS DA LAPA;0
2007-06-30;BOM JESUS DA LAPA;0
2007-07-31;BOM JESUS DA LAPA;0
2007-08-31;BOM JESUS DA LAPA;0
2007-09-30;BOM JESUS DA LAPA;0
2007-10-31;BOM JESUS DA LAPA;5,4
2007-11-30;BOM JESUS DA LAPA;75
2007-12-31;BOM JESUS DA LAPA;279
2008-01-31;BOM JESUS DA LAPA;162,6
2008-02-29;BOM JESUS DA LAPA;105,6
2008-03-31;BOM JESUS DA LAPA;40,7
2008-04-30;BOM JESUS DA LAPA;153,4
2008-05-31;BOM JESUS DA LAPA;0
2008-06-30;BOM JESUS DA LAPA;0
2008-07-31;BOM JESUS DA LAPA;0
2008-08-31;BOM JESUS DA LAPA;0
2008-09-30;BOM JESUS DA LAPA;28,8
2008-10-31;BOM JESUS DA LAPA;0
2008-11-30;BOM JESUS DA LAPA;177,8
2008-12-31;BOM JESUS DA LAPA;154
2009-01-31;BOM JESUS DA LAPA;102,6
2009-02-28;BOM JESUS DA LAPA;105,6
2009-03-31;BOM JESUS DA LAPA;158,7
2009-04-30;BOM JESUS DA LAPA;92,3
2009-05-31;BOM JESUS DA LAPA;18,9
2009-06-30;BOM JESUS DA LAPA;7,8
2009-07-31;BOM JESUS DA LAPA;0
2009-08-31;BOM JESUS DA LAPA;0
2009-09-30;BOM JESUS DA LAPA;2,9
2009-10-31;BOM JESUS DA LAPA;181,1
2009-11-30;BOM JESUS DA LAPA;27,3
2009-12-31;BOM JESUS DA LAPA;181,4
2010-01-31;BOM JESUS DA LAPA;26,3
2010-02-28;BOM JESUS DA LAPA;45,4
2010-03-31;BOM JESUS DA LAPA;152,2
2010-04-30;BOM JESUS DA LAPA;121,6
2010-05-31;BOM JESUS DA LAPA;29,8
2010-06-30;BOM JESUS DA LAPA;0
2010-07-31;BOM JESUS DA LAPA;0
2010-08-31;BOM JESUS DA LAPA;0
2010-09-30;BOM JESUS DA LAPA;6,6
2010-10-31;BOM JESUS DA LAPA;85,6
2010-11-30;BOM JESUS DA LAPA;164,9
2010-12-31;BOM JESUS DA LAPA;97,3
2011-01-31;BOM JESUS DA LAPA;129,8
2011-02-28;BOM JESUS DA LAPA;70,1
2011-03-31;BOM JESUS DA LAPA;168,1
2011-04-30;BOM JESUS DA LAPA;35,8
2011-05-31;BOM JESUS DA LAPA;10,1
2011-06-30;BOM JESUS DA LAPA;0
2011-07-31;BOM JESUS DA LAPA;0
2011-08-31;BOM JESUS DA LAPA;0
2011-09-30;BOM JESUS DA LAPA;0
2011-10-31;BOM JESUS DA LAPA;94,1
2011-11-30;BOM JESUS DA LAPA;134,5
2011-12-31;BOM JESUS DA LAPA;198,9
2012-01-31;BOM JESUS DA LAPA;48,6
2012-02-29;BOM JESUS DA LAPA;35,9
2012-03-31;BOM JESUS DA LAPA;48,2
2012-04-30;BOM JESUS DA LAPA;0
2012-05-31;BOM JESUS DA LAPA;33,7
2012-06-30;BOM JESUS DA LAPA;2,2
2012-07-31;BOM JESUS DA LAPA;0
2012-08-31;BOM JESUS DA LAPA;0
2012-09-30;BOM JESUS DA LAPA;0
2012-10-31;BOM JESUS DA LAPA;15,4
2012-11-30;BOM JESUS DA LAPA;293,8
2012-12-31;BOM JESUS DA LAPA;2,8
2007-01-31;CAMPOS SALES;38,8
2007-02-28;CAMPOS SALES;282
2007-03-31;CAMPOS SALES;125,5
2007-04-30;CAMPOS SALES;113,7
2007-05-31;CAMPOS SALES;4
2007-06-30;CAMPOS SALES;0
2007-07-31;CAMPOS SALES;null
2007-08-31;CAMPOS SALES;2
2007-09-30;CAMPOS SALES;0
2007-10-31;CAMPOS SALES;,1
2007-11-30;CAMPOS SALES;2,4
2007-12-31;CAMPOS SALES;71
2008-01-31;CAMPOS SALES;72,3
2008-02-29;CAMPOS SALES;217,1
2008-03-31;CAMPOS SALES;312,5
2008-04-30;CAMPOS SALES;106,7
2008-05-31;CAMPOS SALES;14,3
2008-06-30;CAMPOS SALES;0
2008-07-31;CAMPOS SALES;null
2008-08-31;CAMPOS SALES;,8
2008-09-30;CAMPOS SALES;0
2008-10-31;CAMPOS SALES;0
2008-11-30;CAMPOS SALES;,4
2008-12-31;CAMPOS SALES;72,6
2009-01-31;CAMPOS SALES;78
2009-02-28;CAMPOS SALES;120,9
2009-03-31;CAMPOS SALES;76
2009-04-30;CAMPOS SALES;244,1
2009-05-31;CAMPOS SALES;109,3
2009-06-30;CAMPOS SALES;22,5
2009-07-31;CAMPOS SALES;36,2
2009-08-31;CAMPOS SALES;,8
2009-09-30;CAMPOS SALES;0
2009-10-31;CAMPOS SALES;null
2009-11-30;CAMPOS SALES;9,9
2009-12-31;CAMPOS SALES;86,2
2010-01-31;CAMPOS SALES;67,5
2010-02-28;CAMPOS SALES;69,1
2010-03-31;CAMPOS SALES;177,1
2010-04-30;CAMPOS SALES;236,8
2010-05-31;CAMPOS SALES;null
2010-06-30;CAMPOS SALES;6
2010-07-31;CAMPOS SALES;1,7
2010-08-31;CAMPOS SALES;0
2010-09-30;CAMPOS SALES;0
2010-10-31;CAMPOS SALES;53,7
2010-11-30;CAMPOS SALES;0
2010-12-31;CAMPOS SALES;201,2
2011-01-31;CAMPOS SALES;86,3
2011-02-28;CAMPOS SALES;106,4
2011-03-31;CAMPOS SALES;240,2
2011-04-30;CAMPOS SALES;56,5
2011-05-31;CAMPOS SALES;55,3
2011-06-30;CAMPOS SALES;4,9
2011-07-31;CAMPOS SALES;null
2011-08-31;CAMPOS SALES;9,6
2011-09-30;CAMPOS SALES;0
2011-10-31;CAMPOS SALES;16,2
2011-11-30;CAMPOS SALES;52
2011-12-31;CAMPOS SALES;15,2
2012-01-31;CAMPOS SALES;16,8
2012-02-29;CAMPOS SALES;169,4
2012-03-31;CAMPOS SALES;118,2
2012-04-30;CAMPOS SALES;2,1
2012-05-31;CAMPOS SALES;1,6
2012-06-30;CAMPOS SALES;7,6
2012-07-31;CAMPOS SALES;0
2012-08-31;CAMPOS SALES;0
2012-09-30;CAMPOS SALES;0
2012-10-31;CAMPOS SALES;0
2012-11-30;CAMPOS SALES;0
2012-12-31;CAMPOS SALES;15,5
2007-01-31;ITU;null
2007-02-28;ITU;null
2007-03-31;ITU;null
2007-04-30;ITU;null
2007-05-31;ITU;null
2007-06-30;ITU;null
2007-07-31;ITU;null
2007-08-31;ITU;null
2007-09-30;ITU;null
2007-10-31;ITU;null
2007-11-30;ITU;null
2007-12-31;ITU;null
2008-01-31;ITU;null
2008-02-29;ITU;null
2008-03-31;ITU;null
2008-04-30;ITU;null
2008-05-31;ITU;null
